FishID,pop,sex,habitat_temp,pair,state,subgroup,latitude,accl_order,length,mass,Date,accl_temp,CTmax,phenotype
P2G3P6,NOC,M,27.10122,NJ,NJ,S,39.87,12 to 28,70,5.2,3/25/19,12,34.9,CTmax
P1O3R4,NOC,M,27.10122,NJ,NJ,S,39.87,12 to 28,92,12.9,3/25/19,12,35.2,CTmax
R1P2O5,NOC,M,27.10122,NJ,NJ,S,39.87,12 to 28,80,7.8,3/25/19,12,33.9,CTmax
R2P5P6,OCE,F,30.57388,NJ,NJ,S,39.81,12 to 28,84,9.3,3/25/19,12,34.4,CTmax
G1O3R6,SOC,M,27.17952,NJ,NJ,S,39.78,12 to 28,78,8.3,3/25/19,12,35,CTmax
G1R2R6,SOC,M,27.17952,NJ,NJ,S,39.78,12 to 28,77,7.1,3/25/19,12,35.2,CTmax
R1O2P4,SOC,M,27.17952,NJ,NJ,S,39.78,12 to 28,79,9.1,3/25/19,12,34.7,CTmax
G1R3G5,SOC,M,27.17952,NJ,NJ,S,39.78,12 to 28,80,8.4,3/25/19,12,35.6,CTmax
R3O4O6,NOC,F,27.10122,NJ,NJ,S,39.87,12 to 28,65,6.5,3/27/19,12,36,CTmax
R1O2O5,NOC,F,27.10122,NJ,NJ,S,39.87,12 to 28,63,6.1,3/27/19,12,35.8,CTmax
O1O3R4,NOC,F,27.10122,NJ,NJ,S,39.87,12 to 28,64,6.8,3/27/19,12,35.9,CTmax
R2R4R6,NOC,F,27.10122,NJ,NJ,S,39.87,12 to 28,60,5.6,3/27/19,12,36.7,CTmax
R2P3G4,NOC,M,27.10122,NJ,NJ,S,39.87,12 to 28,46,2.4,3/27/19,12,35.3,CTmax
R2O3O6,NOC,M,27.10122,NJ,NJ,S,39.87,12 to 28,54,4.1,3/27/19,12,36.4,CTmax
O1G3P6,OCE,M,30.57388,NJ,NJ,S,39.81,12 to 28,73,10,3/27/19,12,36.2,CTmax
R3P5G6,OCE,M,30.57388,NJ,NJ,S,39.81,12 to 28,68,8.7,3/27/19,12,36.3,CTmax
G1O5P6,OCE,M,30.57388,NJ,NJ,S,39.81,12 to 28,76,11.9,3/27/19,12,35.6,CTmax
P3R4R5,OCE,M,30.57388,NJ,NJ,S,39.81,12 to 28,75,10.8,3/27/19,12,36.5,CTmax
P1G4O5,SOC,M,27.17952,NJ,NJ,S,39.78,12 to 28,72,11.7,3/27/19,12,35.6,CTmax
P1G4G5,NOC,F,27.10122,NJ,NJ,S,39.87,12 to 28,91,13.8,3/28/19,12,36.3,CTmax
O2O4R5,NOC,F,27.10122,NJ,NJ,S,39.87,12 to 28,85,10.6,3/28/19,12,36.5,CTmax
R1G2P4,NOC,F,27.10122,NJ,NJ,S,39.87,12 to 28,80,9.2,3/28/19,12,35.9,CTmax
O1O2R5,NOC,F,27.10122,NJ,NJ,S,39.87,12 to 28,81,9,3/28/19,12,35.5,CTmax
G1R2P5,NOC,M,27.10122,NJ,NJ,S,39.87,12 to 28,75,7.5,3/28/19,12,36.6,CTmax
G2O4G6,NOC,M,27.10122,NJ,NJ,S,39.87,12 to 28,72,5.8,3/28/19,12,36.1,CTmax
R3G5O6,OCE,M,30.57388,NJ,NJ,S,39.81,12 to 28,73,6.4,3/28/19,12,35.6,CTmax
R1O2P6,SOC,F,27.17952,NJ,NJ,S,39.78,12 to 28,94,16.4,3/28/19,12,36.1,CTmax
P2O4G5,SOC,F,27.17952,NJ,NJ,S,39.78,12 to 28,75,7.5,3/28/19,12,36,CTmax
R3R5R6,SOC,M,27.17952,NJ,NJ,S,39.78,12 to 28,83,9.5,3/28/19,12,35.4,CTmax
O1G3O6,NOC,F,27.10122,NJ,NJ,S,39.87,12 to 28,77,8.4,4/3/19,12,35.9,CTmax
O1R2O4,NOC,F,27.10122,NJ,NJ,S,39.87,12 to 28,85,10.8,4/3/19,12,36.4,CTmax
G2G3R5,NOC,F,27.10122,NJ,NJ,S,39.87,12 to 28,80,10,4/3/19,12,36,CTmax
P2G4P5,NOC,M,27.10122,NJ,NJ,S,39.87,12 to 28,71,6.5,4/3/19,12,36,CTmax
G4G5R6,NOC,M,27.10122,NJ,NJ,S,39.87,12 to 28,75,7.5,4/3/19,12,36.4,CTmax
G1R4P6,OCE,M,30.57388,NJ,NJ,S,39.81,12 to 28,78,8.8,4/3/19,12,36.4,CTmax
R3R4G6,SOC,F,27.17952,NJ,NJ,S,39.78,12 to 28,68,5.7,4/3/19,12,35.7,CTmax
G2P4G5,SOC,F,27.17952,NJ,NJ,S,39.78,12 to 28,90,12.8,4/3/19,12,36.3,CTmax
R1G3R5,SOC,M,27.17952,NJ,NJ,S,39.78,12 to 28,78,8.3,4/3/19,12,35,CTmax
