FishID,pop,sex,habitat_temp,pair,state,subgroup,latitude,accl_order,wam_date12,wam_length12,wam_mass12,tenth_perc_MO2_mg_hr12,tenth_perc_MO2_mg_hr_kg12,wam_date28,wam_length28,wam_mass28,tenth_perc_MO2_mg_hr28,tenth_perc_MO2_mg_hr_kg28,ctmax_length12,ctmax_mass12,ctmax_date12,ctmax12,ctmax_length28,ctmax_mass28,ctmax_date28,ctmax28,cam_date,cam_length,cam_mass,heart_mass,Glucose_MR_pmol_s12,FA_MR_pmol_s12,LKA_MR_pmol_s12,Endogenous_MR_pmol_s12,Glucose_MR_pmol_s28,FA_MR_pmol_s28,LKA_MR_pmol_s28,Endogenous_MR_pmol_s28
O1O2O3,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,4/9/19,61,5.7,3.035792077,0.000532595,6/12/19,65,6.3,5.524830681,0.000876957,61,5.7,5/15/19,33.31,65,6.3,7/2/19,41.72,7/25/19,70,7.6,0.009,NA,NA,NA,NA,37.74504065,34.00015416,33.37382878,15.45491917
P1G2G5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,4/9/19,62,6.8,4.067457397,0.000598155,NA,NA,NA,NA,NA,62,6.8,5/14/19,33.28,62,7.3,6/25/19,41.66,7/25/19,66,8.2,0.011,NA,NA,NA,NA,30.81090894,21.38269196,12.5122829,41.17648327
O4R5O6,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,4/9/19,82,14.2,4.596912086,0.000323726,6/12/19,81,13.1,6.880416818,0.000525223,82,14.2,5/14/19,33.19,81,13.1,7/2/19,41.84,7/25/19,87,15.3,0.016,NA,NA,NA,NA,47.47278307,NA,42.17353914,30.02995536
G1P4O5,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,4/9/19,65,6.7,4.207203517,0.000627941,6/11/19,66,6.4,5.052140075,0.000789397,65,6.7,5/15/19,33.79,66,6.4,6/25/19,41.43,7/24/19,67,7.1,0.007,NA,NA,NA,NA,33.04154866,23.02502918,10.69207762,6.621140155
O1G3P5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,4/9/19,72,10.5,4.225842494,0.000402461,NA,NA,NA,NA,NA,72,10.5,5/15/19,33.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G2P3G6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,4/9/19,56,4,4.600733175,0.001150183,6/11/19,48,4.9,5.959393785,0.001216203,56,4,5/14/19,34.03,48,4.9,6/25/19,41.94,7/24/19,67,7,0.006,NA,NA,NA,NA,27.95262256,19.85650262,3.680045045,1.095585185
O2P3O4,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,4/9/19,62,6,4.93630781,0.000822718,6/11/19,66,5.9,4.164257438,0.000705806,62,6,5/15/19,34.74,66,5.9,6/24/19,42.29,7/24/19,69,6.9,0.009,NA,NA,NA,NA,36.35274694,25.72768928,7.035249682,6.912953561
R3G4P5,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,4/9/19,83,13.9,6.745224318,0.000485268,6/10/19,82,10.7,6.521514344,0.000609487,83,13.9,5/14/19,32.83,82,10.7,6/24/19,41.55,7/23/19,86,11.8,0.014,NA,NA,NA,NA,58.12634241,32.80988598,30.71598522,16.00901737
P2O5R6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,4/9/19,67,10.4,5.582217787,0.000536752,6/11/19,71,10.6,5.460419026,0.000515134,67,10.4,5/15/19,32.88,71,10.6,6/24/19,41.6,7/24/19,76,11.3,0.015,NA,NA,NA,NA,53.14893347,39.44029016,30.84102295,24.31376535
P2R3G5,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,4/9/19,58,5.2,4.346367337,0.00083584,6/12/19,61,6.9,4.524989859,0.000655796,58,5.2,5/15/19,34.07,61,6.9,6/25/19,42.3,7/25/19,73,10.2,0.013,NA,NA,NA,NA,55.20236524,33.38323729,24.5425879,16.34426364
G1O2P4,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,4/9/19,64,5.9,5.933549663,0.001005686,6/10/19,67,5.6,5.421615194,0.000968146,64,5.9,5/14/19,33.36,67,5.6,6/24/19,41.88,7/23/19,71,6.6,0.007,NA,NA,NA,NA,41.25790978,26.71705017,21.34223645,3.852125248
R1O4R5,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,4/9/19,66,11,7.282768448,0.00066207,6/12/19,70,10,8.144574832,0.000814457,66,11,5/15/19,34.72,70,10,6/25/19,42.4,7/25/19,78,12.5,0.014,NA,NA,NA,NA,49.7678954,34.41522157,22.71428101,7.399295806
