"","FishID","pop","sex","habitat_temp","pair","state","subgroup","latitude","accl_order","wam_date","wam_length","wam_mass","tenth_perc_MO2_mg_hr","tenth_perc_MO2_mg_hr_kg","ctmax_length","ctmax_mass","ctmax_date","ctmax","cam_date","cam_length","cam_mass","heart_mass","Glucose_MR_pmol_s","FA_MR_pmol_s","LKA_MR_pmol_s","Endogenous_MR_pmol_s"
"135","G1O3G6","PENME","M",21.35523,"PENME-DIME","ME","N",44.4663861,"28 to 12","6/18/19",70,7.4,1.12023651,151.3833122,70,7.4,"7/8/19",36.07,"8/1/19",72,8.6,0.012,48.19348694,17.78570936,24.679854,22.7015271
"136","R3P4G5","PENME","F",21.35523,"PENME-DIME","ME","N",44.4663861,"28 to 12","6/18/19",78,11.1,1.629317026,146.7853176,78,11.1,"7/8/19",34.79,"8/1/19",80,12.4,0.016,49.30874449,36.35002291,29.92629821,27.89982072
"138","P3O5G6","PEAME","F",15.63283,"OCME-PEAME","ME","N",44.29059,"28 to 12","6/18/19",68,7.7,1.165039035,151.3037707,68,7.7,"7/8/19",35.8,"7/31/19",72,8.7,0.015,28.10649898,21.94088834,20.9849104,18.66762668
"139","G1P2O3","PEAME","M",15.63283,"OCME-PEAME","ME","N",44.29059,"28 to 12","6/18/19",68,7,1.186002355,169.4289079,68,7,"7/8/19",36.49,"7/31/19",69,7.8,0.01,21.23973348,7.020798633,25.21599482,17.53555906
"140","G2R3G6","RVMA","F",23.49572,"RVMA-EHMA","MA","N",41.674169,"28 to 12","6/18/19",65,7.1,1.397436119,196.8219886,65,7.1,"7/8/19",35.89,"8/1/19",71,8.3,0.012,46.80688425,30.95574299,26.63483193,25.60754988
"141","P1O3G4","PENME","F",21.35523,"PENME-DIME","ME","N",44.4663861,"28 to 12","6/18/19",73,8.9,1.3100426,147.1957977,73,8.9,"7/8/19",35.86,"7/31/19",75,9.5,0.014,37.04039966,29.21436437,28.41230909,28.42804757
"142","G1O4P5","OCME","F",18.06903,"OCME-PEAME","ME","N",44.421147,"28 to 12","6/18/19",80,10.7,1.289857428,120.5474232,80,10.7,"7/8/19",35.3,"8/1/19",83,11.7,0.019,41.68375607,28.93861126,28.76310344,31.91219742
"143","O1G2G3","PENME","M",21.35523,"PENME-DIME","ME","N",44.4663861,"28 to 12","6/18/19",70,8,1.250471008,156.308876,70,8,"7/8/19",34.47,"7/31/19",74,9.5,0.012,24.52739144,24.52666259,20.13731051,8.619399241
"144","O2O5R6","EHMA","F",19.31422,"RVMA-EHMA","MA","N",41.82633,"28 to 12","6/18/19",64,6,1.171539226,195.2565377,64,6,"7/8/19",36.21,"7/31/19",65,6.4,0.01,22.1682966,15.18582831,18.69351596,16.81818564
"145","G2O3O6","DIME","M",16.92318,"PENME-DIME","ME","N",44.165011,"28 to 12","6/18/19",71,6.6,1.156450359,175.2197513,71,6.6,"7/9/19",36.46,"8/1/19",71,7.1,0.008,28.59551062,19.74276615,14.63635176,20.33559675
"146","G1G2R4","OCME","M",18.06903,"OCME-PEAME","ME","N",44.421147,"28 to 12","6/18/19",68,6.2,1.096839569,176.9096078,68,6.2,"7/8/19",36.28,"7/31/19",67,7.1,0.01,20.42313793,21.7892409,22.07998715,23.36292271
"147","P1G3O5","DIME","M",16.92318,"PENME-DIME","ME","N",44.165011,"28 to 12","6/18/19",66,5.5,1.13850369,207.0006708,66,5.5,"7/8/19",36.12,"7/31/19",65,6.8,0.007,22.17045817,23.25445918,25.90995712,24.60062045
"148","G1O4O5","RVMA","M",23.49572,"RVMA-EHMA","MA","N",41.674169,"28 to 12","6/18/19",78,11.8,1.532979221,129.9134933,78,11.8,"7/8/19",35.39,"7/31/19",83,14.1,0.017,39.08905485,32.71423438,34.23481421,36.93699215
