FishID,pop,sex,habitat_temp,pair,state,subgroup,latitude,accl_order,wam_date,wam_length,wam_mass,tenth_perc_MO2_mg_hr,tenth_perc_MO2_mg_hr_kg,ctmax_length,ctmax_mass,ctmax_date,ctmax,cam_date,cam_length,cam_mass,heart_mass,Glucose_MR_pmol_s,FA_MR_pmol_s,LKA_MR_pmol_s,Endogenous_MR_pmol_s
O1O2O3,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,6/12/19,65,6.3,5.524830681,0.000876957,65,6.3,7/2/19,41.72,7/25/19,70,7.6,0.009,37.74504065,34.00015416,33.37382878,15.45491917
P1G2G5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,NA,NA,NA,NA,NA,62,7.3,6/25/19,41.66,7/25/19,66,8.2,0.011,30.81090894,21.38269196,12.5122829,41.17648327
O4R5O6,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,6/12/19,81,13.1,6.880416818,0.000525223,81,13.1,7/2/19,41.84,7/25/19,87,15.3,0.016,47.47278307,NA,42.17353914,30.02995536
G1P4O5,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,6/11/19,66,6.4,5.052140075,0.000789397,66,6.4,6/25/19,41.43,7/24/19,67,7.1,0.007,33.04154866,23.02502918,10.69207762,6.621140155
O1G3P5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G2P3G6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,6/11/19,48,4.9,5.959393785,0.001216203,48,4.9,6/25/19,41.94,7/24/19,67,7,0.006,27.95262256,19.85650262,3.680045045,1.095585185
O2P3O4,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,6/11/19,66,5.9,4.164257438,0.000705806,66,5.9,6/24/19,42.29,7/24/19,69,6.9,0.009,36.35274694,25.72768928,7.035249682,6.912953561
R3G4P5,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,6/10/19,82,10.7,6.521514344,0.000609487,82,10.7,6/24/19,41.55,7/23/19,86,11.8,0.014,58.12634241,32.80988598,30.71598522,16.00901737
P2O5R6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,6/11/19,71,10.6,5.460419026,0.000515134,71,10.6,6/24/19,41.6,7/24/19,76,11.3,0.015,53.14893347,39.44029016,30.84102295,24.31376535
P2R3G5,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,6/12/19,61,6.9,4.524989859,0.000655796,61,6.9,6/25/19,42.3,7/25/19,73,10.2,0.013,55.20236524,33.38323729,24.5425879,16.34426364
G1O2P4,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,6/10/19,67,5.6,5.421615194,0.000968146,67,5.6,6/24/19,41.88,7/23/19,71,6.6,0.007,41.25790978,26.71705017,21.34223645,3.852125248
R1O4R5,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,6/12/19,70,10,8.144574832,0.000814457,70,10,6/25/19,42.4,7/25/19,78,12.5,0.014,49.7678954,34.41522157,22.71428101,7.399295806
G1G3O5,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,6/12/19,63,5.5,6.211704976,0.001129401,63,5.5,7/2/19,41.12,7/25/19,66,6.8,0.006,29.48086692,20.7423979,8.694220919,NA
P2P3O6,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,6/11/19,67,8.3,4.892164607,0.000589417,67,8.3,6/24/19,41.91,7/24/19,74,10.2,0.011,48.01684739,32.80137367,22.92420435,21.76215851
G1P2R3,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,6/11/19,67,8.3,8.153018751,0.000982291,67,8.3,6/25/19,41.77,7/24/19,74,8.1,0.008,37.79644424,33.23637039,9.075620214,25.37209919
O3O4R5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,6/10/19,78,10.7,6.115798788,0.00057157,78,10.7,6/24/19,41.14,7/23/19,77,12.1,0.015,74.75285579,46.43300633,46.40322473,28.61335706
O2G5O6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,NA,NA,NA,NA,NA,66,6.8,6/25/19,41.72,7/24/19,69,7.8,0.008,31.09387173,19.41355294,8.307183775,8.54078844
R1R2G6,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,6/11/19,80,9.3,6.44080126,0.000692559,80,9.3,6/25/19,41.54,7/24/19,82,11.8,0.015,45.08052947,30.84436082,19.07671337,13.03451644
P3P4R5,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,6/12/19,82,11.7,4.226948162,0.000361278,82,11.7,6/25/19,40.97,7/25/19,84,14.1,0.016,65.92879069,36.42242075,25.94680749,16.16221043
P2G3P4,OCME,F,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,6/12/19,65,6.4,5.882189121,0.000919092,65,6.4,7/2/19,40.94,7/25/19,66,7.1,0.003,46.72260043,32.4727678,26.29938131,13.72322654
G1P2R5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,6/10/19,81,10.4,5.045861111,0.000485179,81,10.4,6/24/19,41.6,7/23/19,84,11.4,0.01,47.30757381,26.89987227,26.06263732,9.741959
O1P4P5,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,6/10/19,66,7,5.511006203,0.000787287,66,7,6/24/19,41.4,NA,NA,NA,NA,NA,NA,NA,NA
P1R3G4,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,6/12/19,67,6.1,6.921863223,0.001134732,67,6.1,6/25/19,41.66,7/25/19,71,7.8,0.007,11.23962967,23.71056917,9.886771485,NA
O1R3R6,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,6/11/19,75,10.5,6.110220809,0.000581926,75,10.5,6/24/19,42.2,7/24/19,80,13,0.011,53.59806063,36.26296935,29.05658983,19.33413069
O1O2R4,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,6/11/19,70,8.4,3.770788071,0.000448903,70,8.4,6/25/19,41.25,7/24/19,70,9,0.01,54.23853327,38.1035642,36.65091717,28.48879726
R2R4R5,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,6/10/19,73,8.3,6.556968572,0.000789996,73,8.3,6/24/19,41.45,7/23/19,72,10.6,0.012,56.68042036,38.03209746,27.31237386,11.82927889
G3O4G5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,6/12/19,69,9,5.752449707,0.000639161,69,9,7/2/19,41.6,7/25/19,74,10.7,0.012,50.40444513,36.50368808,37.83376282,23.21725133
O2G3G4,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,6/11/19,72,9.7,7.711503106,0.000795,72,9.7,6/24/19,41.86,7/24/19,75,10.5,0.008,39.67587733,30.68096676,9.290739594,NA
O4G5P6,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,6/12/19,71,8.4,9.11182714,0.001084741,71,8.4,7/2/19,41.42,7/25/19,80,12.1,0.014,49.8449618,45.44527294,42.95988598,29.74761012
P3R5R6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,6/10/19,63,5.1,4.46772103,0.000876024,63,5.1,6/24/19,41.64,7/23/19,66,5.8,0.006,41.7458484,17.97438945,7.922523062,NA
