FishID,pop,sex,length,mass,Date,Temp,CTmax,phenotype,aug2018_temp,tenyr_mean_temp,pair,state,mt_haplotype,temp_var,latitude,accl_order
P2G3P6,NOC,M,70,5.2,3/25/19,12,34.9,CTmax,27.10122,14.228548,NJ,NJ,S,49.24793,39.87,12 to 28
P1O3R4,NOC,M,92,12.9,3/25/19,12,35.2,CTmax,27.10122,14.228548,NJ,NJ,S,49.24793,39.87,12 to 28
R1P2O5,NOC,M,80,7.8,3/25/19,12,33.9,CTmax,27.10122,14.228548,NJ,NJ,S,49.24793,39.87,12 to 28
R2P5P6,OCE,F,84,9.3,3/25/19,12,34.4,CTmax,30.57388,14.211971,NJ,NJ,S,NA,39.81,12 to 28
G1O3R6,SOC,M,78,8.3,3/25/19,12,35,CTmax,27.17952,14.211971,NJ,NJ,S,53.93098,39.78,12 to 28
G1R2R6,SOC,M,77,7.1,3/25/19,12,35.2,CTmax,27.17952,14.211971,NJ,NJ,S,53.93098,39.78,12 to 28
R1O2P4,SOC,M,79,9.1,3/25/19,12,34.7,CTmax,27.17952,14.211971,NJ,NJ,S,53.93098,39.78,12 to 28
G1R3G5,SOC,M,80,8.4,3/25/19,12,35.6,CTmax,27.17952,14.211971,NJ,NJ,S,53.93098,39.78,12 to 28
R3O4O6,NOC,F,65,6.5,3/27/19,12,36,CTmax,27.10122,14.228548,NJ,NJ,S,49.24793,39.87,12 to 28
R1O2O5,NOC,F,63,6.1,3/27/19,12,35.8,CTmax,27.10122,14.228548,NJ,NJ,S,49.24793,39.87,12 to 28
O1O3R4,NOC,F,64,6.8,3/27/19,12,35.9,CTmax,27.10122,14.228548,NJ,NJ,S,49.24793,39.87,12 to 28
R2R4R6,NOC,F,60,5.6,3/27/19,12,36.7,CTmax,27.10122,14.228548,NJ,NJ,S,49.24793,39.87,12 to 28
R2P3G4,NOC,M,46,2.4,3/27/19,12,35.3,CTmax,27.10122,14.228548,NJ,NJ,S,49.24793,39.87,12 to 28
