substrate,FishID,pop,sex,Date,Temp,length,mass,heart_mass,MR_pmol_s,phenotype,aug2018_temp,tenyr_mean_temp,pair,state,mt_haplotype,temp_var,latitude,accl_order
FA,P1R3O6,PENME,F,7/23/19,28,67,6.1,0.006,29.78288172,CaM,21.35523,8.606675,PENME-DIME,ME,N,27.27436,44.4663861,12 to 28
FA,P1G3R5,RVMA,F,7/23/19,28,76,12.1,0.014,42.89130675,CaM,23.49572,11.710242,RVMA-EHMA,MA,N,44.46299,41.674169,12 to 28
FA,O3O4R5,RVMA,M,7/23/19,28,77,12.1,0.015,46.43300633,CaM,23.49572,11.710242,RVMA-EHMA,MA,N,44.46299,41.674169,12 to 28
FA,G2R5P6,RVMA,F,7/23/19,28,75,9.6,0.012,26.73470062,CaM,23.49572,11.710242,RVMA-EHMA,MA,N,44.46299,41.674169,12 to 28
FA,R3G4P5,DIME,F,7/23/19,28,86,11.8,0.014,32.80988598,CaM,16.92318,9.07777,PENME-DIME,ME,N,17.6729,44.165011,12 to 28
FA,G1R2O5,EHMA,F,7/23/19,28,68,8.4,0.006,23.71934222,CaM,19.31422,9.07777,RVMA-EHMA,MA,N,33.13356,41.82633,12 to 28
FA,R1P3R6,PEAME,M,7/23/19,28,66,6.4,0.005,24.72794599,CaM,15.63283,8.606675,OCME-PEAME,ME,N,13.10594,44.29059,12 to 28
FA,P3R4R6,PENME,M,7/23/19,28,72,8.7,0.01,26.16569589,CaM,21.35523,8.606675,PENME-DIME,ME,N,27.27436,44.4663861,12 to 28
FA,G1P2R5,PENME,F,7/23/19,28,84,11.4,0.01,26.89987227,CaM,21.35523,8.606675,PENME-DIME,ME,N,27.27436,44.4663861,12 to 28
FA,R3R5P6,PEAME,F,7/23/19,28,73,8.8,0.007,23.31863355,CaM,15.63283,8.606675,OCME-PEAME,ME,N,13.10594,44.29059,12 to 28
FA,G1O2P4,DIME,M,7/23/19,28,71,6.6,0.007,26.71705017,CaM,16.92318,9.07777,PENME-DIME,ME,N,17.6729,44.165011,12 to 28
FA,P3R5R6,OCME,M,7/23/19,28,66,5.8,0.006,17.97438945,CaM,18.06903,8.606675,OCME-PEAME,ME,N,11.41609,44.421147,12 to 28
FA,O4G5R6,PEAME,M,7/23/19,28,66,5.8,0.005,21.82391246,CaM,15.63283,8.606675,OCME-PEAME,ME,N,13.10594,44.29059,12 to 28
FA,R2R4R5,PENME,M,7/23/19,28,72,10.6,0.012,38.03209746,CaM,21.35523,8.606675,PENME-DIME,ME,N,27.27436,44.4663861,12 to 28
FA,G1O5R6,RVMA,F,7/23/19,28,72,8.3,0.007,31.5799917,CaM,23.49572,11.710242,RVMA-EHMA,MA,N,44.46299,41.674169,12 to 28
FA,P2R3P4,DIME,F,7/23/19,28,81,10.6,0.014,33.37641029,CaM,16.92318,9.07777,PENME-DIME,ME,N,17.6729,44.165011,12 to 28
FA,R1R5G6,RVMA,M,7/23/19,28,74,9.6,0.011,13.85613749,CaM,23.49572,11.710242,RVMA-EHMA,MA,N,44.46299,41.674169,12 to 28
FA,O3P4R6,OCME,F,7/24/19,28,66,6.4,0.008,30.30377251,CaM,18.06903,8.606675,OCME-PEAME,ME,N,11.41609,44.421147,12 to 28
FA,G2G3P5,DIME,M,7/24/19,28,74,7.2,0.008,34.93271738,CaM,16.92318,9.07777,PENME-DIME,ME,N,17.6729,44.165011,12 to 28
FA,G1P2R3,PEAME,F,7/24/19,28,74,8.1,0.008,33.23637039,CaM,15.63283,8.606675,OCME-PEAME,ME,N,13.10594,44.29059,12 to 28
FA,O1O2R4,DIME,M,7/24/19,28,70,9,0.01,38.1035642,CaM,16.92318,9.07777,PENME-DIME,ME,N,17.6729,44.165011,12 to 28
FA,R2G3R4,EHMA,M,7/24/19,28,69,8.2,0.009,35.0712826,CaM,19.31422,9.07777,RVMA-EHMA,MA,N,33.13356,41.82633,12 to 28
FA,P2O5R6,PEAME,F,7/24/19,28,76,11.3,0.015,39.44029016,CaM,15.63283,8.606675,OCME-PEAME,ME,N,13.10594,44.29059,12 to 28
FA,P2P3O6,RVMA,F,7/24/19,28,74,10.2,0.011,32.80137367,CaM,23.49572,11.710242,RVMA-EHMA,MA,N,44.46299,41.674169,12 to 28
FA,G2O5R6,RVMA,M,7/24/19,28,80,11.8,0.01,38.75714304,CaM,23.49572,11.710242,RVMA-EHMA,MA,N,44.46299,41.674169,12 to 28
FA,R4O5R6,PENME,M,7/24/19,28,63,5.4,0.005,22.08925661,CaM,21.35523,8.606675,PENME-DIME,ME,N,27.27436,44.4663861,12 to 28
FA,O2P3O4,EHMA,F,7/24/19,28,69,6.9,0.009,25.72768928,CaM,19.31422,9.07777,RVMA-EHMA,MA,N,33.13356,41.82633,12 to 28
FA,O1G4R6,EHMA,F,7/24/19,28,58,3.9,0.003,14.74814561,CaM,19.31422,9.07777,RVMA-EHMA,MA,N,33.13356,41.82633,12 to 28
FA,R1R2G6,DIME,F,7/24/19,28,82,11.8,0.015,30.84436082,CaM,16.92318,9.07777,PENME-DIME,ME,N,17.6729,44.165011,12 to 28
FA,O1R3R6,RVMA,M,7/24/19,28,80,13,0.011,36.26296935,CaM,23.49572,11.710242,RVMA-EHMA,MA,N,44.46299,41.674169,12 to 28
